Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
17,0.0,0.0,0.0,1482.0,17.0,80.0,1482.0,0.1,6192.753987316061,0.0,0.0,149.51088547706604,,,,,,,,,,,,,,,,,,,,,3460.595245488398,1862.7704035150332,5927.755951824685,48.20533166811119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0.0,0.0,0.0,1541.0,18.0,59.0,1541.0,0.1,4230.395937670883,0.0,0.0,155.80852460861206,,,,,,,,,,,,,,,,,,,,,2369.9849639765685,1331.0532806789188,4098.7602465290765,37.69477793509988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.0,0.0,0.0,1617.0,19.0,76.0,1617.0,0.1,5232.008126155294,0.0,0.0,163.95797753334045,,,,,,,,,,,,,,,,,,,,,2982.166809720045,1514.5545674028474,5015.389211650659,46.29787021619826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.0,0.0,0.0,1686.0,20.0,69.0,1686.0,0.1,4759.158856019985,0.0,0.0,171.2263720035553,,,,,,,,,,,,,,,,,,,,,2661.519609260768,1445.3087072625553,4584.678775853927,38.752222884203086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,0.0,0.0,0.0,1730.0,21.0,44.0,1730.0,0.1,2779.215882827491,0.0,0.0,176.01590752601624,,,,,,,,,,,,,,,,,,,,,1596.449657162524,857.045799390892,2714.3981798739073,25.989467279575894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,0.0,0.0,0.0,1789.0,22.0,59.0,1789.0,0.1,3678.5172386711733,0.0,0.0,182.18306589126587,,,,,,,,,,,,,,,,,,,,,2069.5709080590295,1109.6528494635897,3563.5360636870005,31.856171221682807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,0.0,0.0,0.0,1830.0,23.0,41.0,1830.0,0.1,2213.513193189951,0.0,0.0,186.61788725852966,,,,,,,,,,,,,,,,,,,,,1226.1245170397774,693.5328919081091,2167.575070557364,20.828709689810218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,0.0,0.0,0.0,1872.0,24.0,42.0,1872.0,0.1,1994.8919738427653,0.0,0.0,191.25146532058716,,,,,,,,,,,,,,,,,,,,,1006.5458633583524,668.4976383161433,1956.5281473482646,20.447768707192935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,0.0,0.0,0.0,1899.0,25.0,27.0,1899.0,0.1,994.563798687227,0.0,0.0,194.06760907173157,,,,,,,,,,,,,,,,,,,,,499.6826100232278,329.9827119760515,983.0374600993381,10.69744890157424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,0.0,0.0,0.0,1981.0,26.0,82.0,1981.0,0.1,5842.025776260385,0.0,0.0,202.82791829109192,,,,,,,,,,,,,,,,,,,,,2991.7869100250027,1860.63904189024,5607.909460650171,47.05543569305756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
