Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
17,0.0,0.0,0.0,1935.0,17.0,100.0,1935.0,0.0,82.13463178293208,0.0,0.0,186.14356541633606,,,,,,,,,,,,,,,,,,,,,33.04846600106147,27.451405348947738,78.98768155826079,-11.933256785068007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0.0,0.0,0.0,2094.0,18.0,159.0,2094.0,0.0,135.6402681456401,0.0,0.0,202.5522267818451,,,,,,,,,,,,,,,,,,,,,66.3765976564874,35.83482705271215,125.33693765663398,1.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.0,0.0,0.0,2117.0,19.0,23.0,2117.0,0.0,-0.23106287151651195,0.0,0.0,205.16403436660767,,,,,,,,,,,,,,,,,,,,,-7.496562268342003,4.617145265651862,-0.0587006399846266,-15.195451636378118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.0,0.0,0.0,2188.0,20.0,71.0,2188.0,0.0,55.7886554139274,0.0,0.0,212.8510091304779,,,,,,,,,,,,,,,,,,,,,21.65271604243156,19.651498687019146,54.35997817127921,-10.259556134440764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1.0,0.0,0.0,64.0,1.0,64.0,2252.0,0.0,49.03835779443202,0.0,0.0,558.5476589202881,,,,,,,,,,,,,,,,,,,,,18.528774558554673,17.692709345290712,47.94836500432823,-10.003421608769157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1.0,0.0,0.0,225.0,2.0,161.0,2413.0,0.0,160.1600000000004,0.0,0.0,575.7052600383759,,,,,,,,,,,,,,,,,,,,,76.91706157471056,42.949054736601575,148.072349713549,1.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,1.0,0.0,0.0,389.0,3.0,164.0,2577.0,0.0,163.1630000000004,0.0,0.0,592.5895488262177,,,,,,,,,,,,,,,,,,,,,78.26543772261529,43.685560881876306,150.62857473438513,1.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1.0,0.0,0.0,428.0,4.0,39.0,2616.0,0.0,2.9760634512422977,0.0,0.0,596.9749381542206,,,,,,,,,,,,,,,,,,,,,-6.8565879198081205,4.89363415059073,3.249967064276312,-15.564176188852999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,1.0,0.0,0.0,459.0,5.0,31.0,2647.0,0.0,15.88034199610821,0.0,0.0,600.375453710556,,,,,,,,,,,,,,,,,,,,,2.4867546340384745,8.096458895507823,15.834906580707848,-10.12842973660672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,1.0,0.0,0.0,483.0,6.0,24.0,2671.0,0.0,-0.41343650250648745,0.0,0.0,603.4703929424286,,,,,,,,,,,,,,,,,,,,,-8.134164714303035,4.913229423369203,-0.2184349843475606,-16.37513872381034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
