Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
17,0.0,0.0,0.0,2131.0,17.0,326.0,2131.0,0.1,1911.3862888176982,0.0,0.0,185.53477454185486,,,,,,,,,,,,,,,,,,,,,872.5152585969512,466.0428459589674,1630.2050944989962,8.032988373737844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0.0,0.0,0.0,2272.0,18.0,141.0,2272.0,0.1,895.7581719293482,0.0,0.0,197.9206817150116,,,,,,,,,,,,,,,,,,,,,429.08406607575483,250.59040797936066,836.9303423670584,0.4196827833082553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.0,0.0,0.0,2350.0,19.0,78.0,2350.0,0.1,373.99912708390684,0.0,0.0,204.99414730072021,,,,,,,,,,,,,,,,,,,,,185.520423560456,109.59570687246942,360.24867113979985,0.4372530793354732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.0,0.0,0.0,2514.0,20.0,164.0,2514.0,0.1,985.8519502516839,0.0,0.0,219.32187247276306,,,,,,,,,,,,,,,,,,,,,499.32928662627467,267.3044221324982,905.7725866456798,0.4663086686527863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1.0,0.0,0.0,102.0,1.0,102.0,2616.0,0.1,575.840935051508,0.0,0.0,451.3333294391632,,,,,,,,,,,,,,,,,,,,,277.6833093211176,165.371517370993,548.6139167202776,0.4457200784032287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1.0,0.0,0.0,246.0,2.0,144.0,2760.0,0.1,863.4180690748516,0.0,0.0,464.55038118362427,,,,,,,,,,,,,,,,,,,,,430.8424343217139,241.79795022240933,802.9819193893841,0.4416082278789034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,1.0,0.0,0.0,402.0,3.0,156.0,2916.0,0.1,1002.8898938195181,0.0,0.0,478.32528829574585,,,,,,,,,,,,,,,,,,,,,493.7077025538607,279.44163664975576,927.7260165281556,0.5350438255474397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1.0,0.0,0.0,467.0,4.0,65.0,2981.0,0.1,376.5965614253905,0.0,0.0,484.3968040943146,,,,,,,,,,,,,,,,,,,,,184.32770718330195,111.22822066659675,365.3455862854604,0.4363416618758721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,1.0,0.0,0.0,661.0,5.0,194.0,3175.0,0.1,1144.0305390769743,0.0,0.0,501.3814799785614,,,,,,,,,,,,,,,,,,,,,555.6807761013625,300.52943512882086,1038.3040382858433,0.43246185599322173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,1.0,0.0,0.0,732.0,6.0,71.0,3246.0,0.1,359.86266549847755,0.0,0.0,508.05367970466614,,,,,,,,,,,,,,,,,,,,,177.77197874556958,106.52840760712067,347.93637983082414,0.5123783136059566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,1.0,0.0,0.0,1015.0,7.0,283.0,3529.0,0.1,1754.5626033957938,0.0,0.0,532.6259970664978,,,,,,,,,,,,,,,,,,,,,826.5728013144404,458.66904071283506,1523.6883536427388,0.5559574278329356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,1.0,0.0,0.0,1112.0,8.0,97.0,3626.0,0.1,549.4399260894164,0.0,0.0,541.3088691234589,,,,,,,,,,,,,,,,,,,,,282.15124364510797,157.63936032234975,523.1169662714177,0.4794493840156124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,1.0,0.0,0.0,1419.0,9.0,307.0,3933.0,0.1,2009.835428540829,0.0,0.0,568.1256530284882,,,,,,,,,,,,,,,,,,,,,945.8985940988222,498.8320386047859,1722.8886144928638,6.258328990228012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
